,city,longitude,latitude,date1,pop1,tem1,date2,pop2,tem2,date3,pop3,tem3,date4,pop4,tem4,date5,pop5,tem5,pop_mean,tem_mean
0,Mont Saint Michel,-1.511459954959514,48.6359541,2024-06-22 00:00:00,1.0,14.54,2024-06-23 00:00:00,0.0,11.41,2024-06-24 00:00:00,0.0,13.63,2024-06-25 00:00:00,0.0,16.53,2024-06-26 00:00:00,0.23,19.23,0.246,15.068000000000001
1,St Malo,-2.0260409,48.649518,2024-06-22 00:00:00,0.82,14.06,2024-06-23 00:00:00,0.0,13.91,2024-06-24 00:00:00,0.0,14.79,2024-06-25 00:00:00,0.0,16.93,2024-06-26 00:00:00,1.0,17.98,0.364,15.534
2,Bayeux,-0.7024738,49.2764624,2024-06-22 00:00:00,0.2,14.55,2024-06-23 00:00:00,0.0,9.93,2024-06-24 00:00:00,0.0,11.61,2024-06-25 00:00:00,0.0,14.61,2024-06-26 00:00:00,0.0,18.13,0.04,13.766
3,Le Havre,0.1079732,49.4938975,2024-06-22 00:00:00,0.84,15.18,2024-06-23 00:00:00,0.0,14.82,2024-06-24 00:00:00,0.0,14.82,2024-06-25 00:00:00,0.0,16.6,2024-06-26 00:00:00,0.0,20.36,0.16799999999999998,16.356
4,Rouen,1.0939658,49.4404591,2024-06-22 00:00:00,0.0,15.82,2024-06-23 00:00:00,0.0,10.35,2024-06-24 00:00:00,0.0,12.36,2024-06-25 00:00:00,0.0,15.18,2024-06-26 00:00:00,0.0,18.45,0.0,14.431999999999999
5,Paris,2.3200410217200766,48.8588897,2024-06-22 00:00:00,0.2,18.15,2024-06-23 00:00:00,0.0,13.49,2024-06-24 00:00:00,0.0,16.31,2024-06-25 00:00:00,0.0,18.88,2024-06-26 00:00:00,0.0,20.8,0.04,17.526
6,Amiens,2.2956951,49.8941708,2024-06-22 00:00:00,0.0,13.86,2024-06-23 00:00:00,0.0,10.38,2024-06-24 00:00:00,0.0,12.54,2024-06-25 00:00:00,0.0,15.52,2024-06-26 00:00:00,0.0,18.57,0.0,14.174000000000001
7,Lille,3.0635282,50.6365654,2024-06-22 00:00:00,0.0,14.31,2024-06-23 00:00:00,0.0,12.16,2024-06-24 00:00:00,0.0,13.46,2024-06-25 00:00:00,0.0,16.38,2024-06-26 00:00:00,0.0,19.14,0.0,15.09
8,Strasbourg,7.7507127,48.584614,2024-06-22 00:00:00,0.87,16.09,2024-06-23 00:00:00,0.0,12.02,2024-06-24 00:00:00,0.0,14.55,2024-06-25 00:00:00,0.0,16.21,2024-06-26 00:00:00,0.0,17.0,0.174,15.174000000000001
9,Chateau du Haut Koenigsbourg,7.3454923,48.2495226,2024-06-22 00:00:00,0.3,13.47,2024-06-23 00:00:00,0.0,9.12,2024-06-24 00:00:00,0.0,12.56,2024-06-25 00:00:00,0.0,13.95,2024-06-26 00:00:00,0.0,14.44,0.06,12.707999999999998
